"IBGECode","LocalCidade","LocalUF","LocalEstado","RegiaoBrasil","Latitude","Longitude","Gentilico","PopEstimada_2018","PopCenso 2010","IDHM","ReceitasRealizadas_2014","DespesasEmpenhadas_2014","Pib_2014"
"1100015","ALTA FLORESTA D'OESTE","RO","Rondonia","N","-119,283","-619,953","alta-florense ","23167","24392","0,641","53490","47577","16461,11"
"1100023","ARIQUEMES","RO","Rondonia","N","-990,571","-630,325","ariquemense ","106168","90353","0,702","0","0","19401,43"
"1100031","CABIXI","RO","Rondonia","N","-134,945","-60,552","cabixiense ","5438","6313","0,65","22635","19354","18346,17"
"1100049","CACOAL","RO","Rondonia","N","-114,343","-614,562","cacoalense ","84813","78574","0,718","169636","155473","20725,23"
"1100056","CEREJEIRAS","RO","Rondonia","N","-13,187","-608,168","cerejeirense ","16444","17029","0,692","53147","46774","22179,17"
"1100064","COLORADO D OESTE","RO","Rondonia","N","-131,174","-605,454","coloradense ","16227","18591","0,685","34612","34381","15300,88"
"1100072","CORUMBIARA","RO","Rondonia","N","-129,551","-608,947","corumbiarense ","7567","8783","0,613","31930","26576","21651,45"
"1100080","COSTA MARQUES","RO","Rondonia","N","-124,367","-64,228","costa-marquense ","17855","13678","0,611","0","0","11221,33"
"1100098","ESPIGAO D OESTE","RO","Rondonia","N","-115,266","-610,252","espigãoense ","32047","28729","0,672","64926","48201","14870,87"
"1100106","GUAJARA MIRIM","RO","Rondonia","N","-107,889","-653,296","guajará-mirense ","45783","41656","0,657","76112","68052","14711,46"
"1100114","JARU","RO","Rondonia","N","-104,318","-624,788","jaruense ","51933","52005","0,689","105690","93923","22115,38"
"1100122","JI PARANA","RO","Rondonia","N","-108,777","-619,322","ji-paranaense ","127907","116610","0,714","216601","184993","21239,09"
"1100130","MACHADINHO D'OESTE","RO","Rondonia","N","-944,363","-619,818","machadinhense ","39097","31135","0,596","67914","64452","12105,58"
"1100148","NOVA BRASILANDIA D OESTE","RO","Rondonia","N","-117,247","-623,127","brasilandense ","20459","19874","0,643","43737","33593","12620,96"
"1100155","OURO PRETO DO OESTE","RO","Rondonia","N","-107,167","-622,565","ouro-pretense ","36340","37928","0,682","83734","65631","15925,15"
"1100189","PIMENTA BUENO","RO","Rondonia","N","-11,672","-61,198","pimenta-buenense ","36434","33822","0,71","67322","65568","24271,99"
"1100205","PORTO VELHO","RO","Rondonia","N","-876,077","-638,999","porto-velhense ","519531","428527","0,736","1172070","1041659","27741,1"
"1100254","PRESIDENTE MEDICI","RO","Rondonia","N","-11,169","-618,986","mediciense ","19409","22319","0,664","51414","39412","16109,63"
"1100262","RIO CRESPO","RO","Rondonia","N","-969,965","-629,011","rio-crespense ","3723","3316","0,643","15567","14450","20893,97"
"1100288","ROLIM DE MOURA","RO","Rondonia","N","-117,271","-617,714","rolimorense ","54702","50648","0,7","116687","95444","19714,8"
