ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
2,-10.94,-69.56,ASSIS BRASIL - AC,ASSIS BRASIL,AC,17.842.150.988.839
3,-11.01,-68.74,BRASILEIA - AC,BRASILEIA,AC,9.337.339.431.323
4,-9.83,-67.95,BUJARI - AC,BUJARI,AC,2.851.656.749.286
5,-10.57,-67.67,CAPIXABA - AC,CAPIXABA,AC,18.886.455.136.104
6,-7.63,-72.67,CRUZEIRO DO SUL - AC,CRUZEIRO DO SUL,AC,36.458.613.831.064
7,-11.02,-68.74,EPITACIOLANDIA - AC,EPITACIOLANDIA,AC,60.489.739.920.769
8,-8.16,-70.35,FEIJO - AC,FEIJO,AC,14.066.524.787.856
9,-9.43,-71.88,JORDAO - AC,JORDAO,AC,25.407.154.503.166
10,-7.61,-72.89,MANCIO LIMA - AC,MANCIO LIMA,AC,55.464.222.446.319
11,-8.83,-69.26,MANOEL URBANO - AC,MANOEL URBANO,AC,3.620.002.438.698
12,-8.94,-72.79,MARECHAL THAUMATURGO - AC,MARECHAL THAUMATURGO,AC,50.555.101.062.783
13,-10.27,-67.15,PLACIDO DE CASTRO - AC,PLACIDO DE CASTRO,AC,83.591.738.491.223
14,-9.58,-67.53,PORTO ACRE - AC,PORTO ACRE,AC,51.717.893.964.079
15,-8.26,-72.74,PORTO WALTER - AC,PORTO WALTER,AC,35.809.977.624.542
16,-9.97,-67.81,RIO BRANCO - AC,RIO BRANCO,AC,14.760.486.200.057
17,-7.74,-72.64,RODRIGUES ALVES - AC,RODRIGUES ALVES,AC,54.883.187.572.235
18,-9.43,-70.49,SANTA ROSA DO PURUS - AC,SANTA ROSA DO PURUS,AC,10.990.219.334.904
19,-9.06,-68.65,SENA MADUREIRA - AC,SENA MADUREIRA,AC,15.521.700.548.922
20,-10.15,-67.73,SENADOR GUIOMARD - AC,SENADOR GUIOMARD,AC,88.074.579.103.305
21,-8.16,-70.76,TARAUACA - AC,TARAUACA,AC,15.293.212.746.233
22,-10.65,-68.5,XAPURI - AC,XAPURI,AC,84.617.850.174.034
23,-9.26,-37.93,AGUA BRANCA - AL,AGUA BRANCA,AL,11.432.851.313.619
24,-9.68,-36.3,ANADIA - AL,ANADIA,AL,10.793.982.846.746
25,-9.75,-36.66,ARAPIRACA - AL,ARAPIRACA,AL,10.406.336.438.575
26,-9.5,-36.02,ATALAIA - AL,ATALAIA,AL,25.602.884.361.183
27,-9.4,-35.5,BARRA DE SANTO ANTONIO - AL,BARRA DE SANTO ANTONIO,AL,56.980.261.677.616
28,-9.84,-35.9,BARRA DE SAO MIGUEL - AL,BARRA DE SAO MIGUEL,AL,37.840.140.710.035
29,-9.67,-37.12,BATALHA - AL,BATALHA,AL,85.456.720.395.317
30,-9.57,-36.49,BELEM - AL,BELEM,AL,35.555.018.594.736
31,-9.82,-37.28,BELO MONTE - AL,BELO MONTE,AL,4.168.804.103.437
32,-9.64,-36.22,BOCA DA MATA - AL,BOCA DA MATA,AL,13.394.974.741.433
33,-9.24,-36.01,BRANQUINHA - AL,BRANQUINHA,AL,64.397.619.322.342
34,-9.4,-36.99,CACIMBINHAS - AL,CACIMBINHAS,AL,59.926.119.390.802
35,-9.39,-36.15,CAJUEIRO - AL,CAJUEIRO,AL,11.896.122.330.606
36,-8.84,-35.56,CAMPESTRE - AL,CAMPESTRE,AL,43.221.249.140.408
37,-9.78,-36.35,CAMPO ALEGRE - AL,CAMPO ALEGRE,AL,26.142.006.670.902
38,-9.95,-36.79,CAMPO GRANDE - AL,CAMPO GRANDE,AL,63.902.920.100.054
39,-9.12,-37.6,CANAPI - AL,CANAPI,AL,111.852.944.811
40,-9.4,-36.07,CAPELA - AL,CAPELA,AL,13.929.554.618.091
41,-9.48,-37.37,CARNEIROS - AL,CARNEIROS,AL,37.924.703.650.497
42,-9.25,-36.29,CHA PRETA - AL,CHA PRETA,AL,47.759.937.993.043
43,-9.63,-36.57,COITE DO NOIA - AL,COITE DO NOIA,AL,65.066.049.549.352
44,-8.9,-35.72,COLONIA LEOPOLDINA - AL,COLONIA LEOPOLDINA,AL,11.789.927.480.507
45,-9.63,-35.8,COQUEIRO SECO - AL,COQUEIRO SECO,AL,3.415.795.789.182
46,-10.12,-36.17,CORURIPE - AL,CORURIPE,AL,29.223.101.388.048
47,-9.61,-36.76,CRAIBAS - AL,CRAIBAS,AL,11.741.789.335.913
48,-9.38,-37.99,DELMIRO GOUVEIA - AL,DELMIRO GOUVEIA,AL,24.599.354.079.854
49,-9.39,-37.1,DOIS RIACHOS - AL,DOIS RIACHOS,AL,71.876.635.975.352
50,-9.39,-36.76,ESTRELA DE ALAGOAS - AL,ESTRELA DE ALAGOAS,AL,10.415.458.518.981
51,-9.9,-36.67,FEIRA GRANDE - AL,FEIRA GRANDE,AL,12.627.955.958.295
52,-10.29,-36.3,FELIZ DESERTO - AL,FELIZ DESERTO,AL,25.815.504.228.461
53,-9.27,-35.71,FLEXEIRAS - AL,FLEXEIRAS,AL,76.177.389.697.317
54,-9.88,-36.82,GIRAU DO PONCIANO - AL,GIRAU DO PONCIANO,AL,18.112.917.349.246
55,-8.97,-35.93,IBATEGUARA - AL,IBATEGUARA,AL,97.377.448.556.216
56,-9.53,-36.63,IGACI - AL,IGACI,AL,15.307.071.634.132
57,-10.12,-36.66,IGREJA NOVA - AL,IGREJA NOVA,AL,13.431.986.223.109
58,-9.21,-37.75,INHAPI - AL,INHAPI,AL,98.409.712.052.117
59,-9.63,-37.2,JACARE DOS HOMENS - AL,JACARE DOS HOMENS,AL,31.871.453.806.513
60,-8.84,-35.46,JACUIPE - AL,JACUIPE,AL,46.227.545.295.775
61,-9.08,-35.25,JAPARATINGA - AL,JAPARATINGA,AL,41.056.498.746.954
62,-9.65,-37,JARAMATAIA - AL,JARAMATAIA,AL,31.131.712.235.824
63,-9.13,-35.74,JOAQUIM GOMES - AL,JOAQUIM GOMES,AL,12.829.707.092.753
64,-8.93,-35.57,JUNDIA - AL,JUNDIA,AL,28.772.123.199.258
65,-9.92,-36.47,JUNQUEIRO - AL,JUNQUEIRO,AL,14.252.460.175.899
66,-9.83,-36.73,LAGOA DA CANOA - AL,LAGOA DA CANOA,AL,11.575.875.451.368
67,-9.74,-36.5,LIMOEIRO DE ANADIA - AL,LIMOEIRO DE ANADIA,AL,12.200.873.573.162
68,-9.66,-35.73,MACEIO - AL,MACEIO,AL,723230
69,-9.53,-36.98,MAJOR ISIDORO - AL,MAJOR ISIDORO,AL,11.541.028.490.717
70,-9.44,-36.38,MAR VERMELHO - AL,MAR VERMELHO,AL,29.782.231.703.063
71,-9.01,-35.22,MARAGOGI - AL,MARAGOGI,AL,10.174.364.043.909
72,-9.23,-37.35,MARAVILHA - AL,MARAVILHA,AL,86.998.228.560.824
73,-9.71,-35.89,MARECHAL DEODORO - AL,MARECHAL DEODORO,AL,17.533.049.146.418
74,-9.57,-36.3,MARIBONDO - AL,MARIBONDO,AL,88.605.364.389.805
75,-9.11,-37.73,MATA GRANDE - AL,MATA GRANDE,AL,1.675.555.760.392
76,-9.15,-35.53,MATRIZ DE CAMARAGIBE - AL,MATRIZ DE CAMARAGIBE,AL,14.250.062.320.022
77,-9.38,-35.84,MESSIAS - AL,MESSIAS,AL,70.701.995.620.886
78,-9.3,-36.86,MINADOR DO NEGRAO - AL,MINADOR DO NEGRAO,AL,32.898.474.010.306
79,-9.6,-37.24,MONTEIROPOLIS - AL,MONTEIROPOLIS,AL,42.542.287.421.864
80,-9.3,-35.94,MURICI - AL,MURICI,AL,14.253.785.133.568
81,-8.91,-35.64,NOVO LINO - AL,NOVO LINO,AL,71.238.279.946.563
82,-9.53,-37.29,OLHO D'AGUA DAS FLORES - AL,OLHO D'AGUA DAS FLORES,AL,11.222.326.303.961
83,-9.5,-37.83,OLHO D'AGUA DO CASADO - AL,OLHO D'AGUA DO CASADO,AL,41.443.887.987.717
84,-10.05,-36.81,OLHO D'AGUA GRANDE - AL,OLHO D'AGUA GRANDE,AL,27.696.591.558.072
85,-9.51,-37.19,OLIVENCA - AL,OLIVENCA,AL,64.589.406.292.864
86,-9.16,-37.35,OURO BRANCO - AL,OURO BRANCO,AL,61.094.590.655.158
87,-9.67,-37.32,PALESTINA - AL,PALESTINA,AL,26.919.983.574.454
88,-9.4,-36.62,PALMEIRA DOS INDIOS - AL,PALMEIRA DOS INDIOS,AL,42.103.024.920.166
89,-9.74,-37.43,PAO DE ACUCAR - AL,PAO DE ACUCAR,AL,16.252.712.029.531
90,-9.25,-38,PARICONHA - AL,PARICONHA,AL,56.773.868.899.399
91,-9.46,-35.55,PARIPUEIRA - AL,PARIPUEIRA,AL,43.322.232.852.117
92,-9.23,-35.49,PASSO DE CAMARAGIBE - AL,PASSO DE CAMARAGIBE,AL,92.366.276.327.125
93,-9.36,-36.37,PAULO JACINTO - AL,PAULO JACINTO,AL,61.136.271.943.176
94,-10.29,-36.58,PENEDO - AL,PENEDO,AL,37.473.921.109.934
95,-10.4,-36.43,PIACABUCU - AL,PIACABUCU,AL,98.727.075.093.472
96,-9.59,-35.95,PILAR - AL,PILAR,AL,20.935.266.852.128
97,-9.47,-36.29,PINDOBA - AL,PINDOBA,AL,21.063.693.739.202
98,-9.62,-37.75,PIRANHAS - AL,PIRANHAS,AL,13.332.335.496.974
99,-9.31,-37.28,POCO DAS TRINCHEIRAS - AL,POCO DAS TRINCHEIRAS,AL,74.023.357.551.399
100,-9.04,-35.39,PORTO CALVO - AL,PORTO CALVO,AL,16.208.268.561.604
101,-9.15,-35.29,PORTO DE PEDRAS - AL,PORTO DE PEDRAS,AL,6.960.132.786.357
102,-10.18,-36.84,PORTO REAL DO COLEGIO - AL,PORTO REAL DO COLEGIO,AL,11.535.391.257.119
103,-9.31,-36.47,QUEBRANGULO - AL,QUEBRANGULO,AL,79.447.999.250.079
104,-9.47,-35.85,RIO LARGO - AL,RIO LARGO,AL,40.450.572.629.757
105,-9.83,-35.97,ROTEIRO - AL,ROTEIRO,AL,44.231.415.998.578
106,-9.6,-35.82,SANTA LUZIA DO NORTE - AL,SANTA LUZIA DO NORTE,AL,39.357.296.822.582
107,-9.37,-37.24,SANTANA DO IPANEMA - AL,SANTANA DO IPANEMA,AL,23.658.498.940.151
108,-9.16,-36.22,SANTANA DO MUNDAU - AL,SANTANA DO MUNDAU,AL,79.044.749.014.965
109,-10.12,-36.9,SAO BRAS - AL,SAO BRAS,AL,43.749.941.627.183
110,-9.01,-36.05,SAO JOSE DA LAJE - AL,SAO JOSE DA LAJE,AL,14.585.681.879.441
111,-9.55,-37.38,SAO JOSE DA TAPERA - AL,SAO JOSE DA TAPERA,AL,17.757.830.140.283
