name,lat,lon
***,0,0
AC,-8.872752,-70.570094
AL,-9.379448,-35.817667
AM,-3.105794,-60.135667
AP,0.093083,-51.075496
BA,-12.977412,-38.506495
CE,-3.729803,-38.530623
DF,-15.793378,-47.880382
ES,-20.297806,-40.294803
GO,-16.686985,-49.267190
MA,-2.528008,-44.257432
MG,-19.917874,-43.937616
MS,-20.376231,-54.668116
MT,-15.523825,-56.011579
PA,-1.454614,-48.489179
PB,-7.119274,-34.844667
PE,-8.060855,-34.885422
PI,-5.088092,-42.810417
PR,-25.429385,-49.270573
RJ,-22.911355,-43.168608
RN,-5.780445,-35.195467
RO,-8.625.353,-63.921167
RR,2.951636,-60.619292
RS,-30.035707,-51.230021
SC,-27.594441,-48.508761
SE,-10.948747,-37.061971
SP,-23.545006,-46.654381
TO,-10.210648,-48.333571
