codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_dia,ocorrencia_horario,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,aeronave_matricula,aeronave_equipamento,aeronave_fabricante,aeronave_modelo,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_peso_maximo_decolagem,aeronave_quantidade_assentos,aeronave_ano_fabricacao,aeronave_pais_registro,aeronave_categoria_registro,aeronave_segmento_aviacao,aeronave_origem_voo,aeronave_destino_voo,aeronave_fase_voo,aeronave_tipo_operacao,aeronave_nivel_dano,quantidade_fatalidades,quantidade_fatores_contribuintes,dia_extracao,ano,latitude,longitude
201211159478138,ACIDENTE,FALHA DO MOTOR EM VOO,2012-11-15,12:40:00,ABADIA DE GOIAS,GO,BRASIL,****,PPZGV,AVIÃO,IVAN MOLCHAN,GV-2,PISTÃO,1.0,430,2.0,1985.0,BRASIL,PET,EXPERIMENTAL,****,****,MANOBRA,VOO EXPERIMENTAL,SUBSTANCIAL,,0,2018-05-06,2012,-16.75,-49.43
200912289948837,ACIDENTE,PERDA DE CONTROLE EM VOO,2009-12-28,17:30:00,ACEGUA,RS,BRASIL,****,PRSUB,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1812,1.0,1973.0,BRASIL,SAE,ESPECIALIZADA,****,****,DECOLAGEM,OPERAÇÃO ESPECIALIZADA,SUBSTANCIAL,1.0,1,2018-05-06,2009,-31.87,-54.15
201209091794314,ACIDENTE,PERDA DE CONTROLE EM VOO,2012-09-09,20:00:00,ACREUNA,GO,BRASIL,****,PRGFD,AVIÃO,CESSNA AIRCRAFT,172N,PISTÃO,1.0,1043,0.0,1979.0,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,VOO PRIVADO,DESTRUÍDA,4.0,4,2018-05-06,2012,-17.39,-50.37
200905218704582,INCIDENTE,FALHA DO MOTOR EM VOO,2009-05-21,10:33:00,ADAMANTINA,SP,BRASIL,****,PTDVP,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,1.0,1179,4.0,1971.0,BRASIL,TPP,PARTICULAR,****,****,CRUZEIRO,VOO PRIVADO,NENHUM,,0,2018-05-06,2009,-21.68,-51.07
200811106021664,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,2008-11-10,17:00:00,ADOLFO,SP,BRASIL,****,PTEXO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTÃO,1.0,1633,6.0,1979.0,BRASIL,TPP,PARTICULAR,****,****,POUSO,VOO PRIVADO,SUBSTANCIAL,,0,2018-05-06,2008,-21.23,-49.64
201505081529330,ACIDENTE,FALHA DO MOTOR EM VOO,2015-05-08,11:27:00,AFONSO CLÁUDIO,ES,BRASIL,****,PPZJG,AVIÃO,ROBERTO VENICIO LIMA DANTAS,RV-10,PISTÃO,1.0,1224,4.0,2010.0,BRASIL,PET,EXPERIMENTAL,SIVU,SIQE,SUBIDA,VOO PRIVADO,SUBSTANCIAL,,0,2018-05-06,2015,-9.42,-30.89
201205161105088,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2012-05-16,12:10:00,AFUA,PA,BRASIL,****,PTLEZ,AVIÃO,CESSNA AIRCRAFT,U206G,PISTÃO,1.0,1633,6.0,1977.0,BRASIL,TPX,TÁXI AÉREO,****,****,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,,0,2018-05-06,2012,-0.15,-50.38
201007242033622,ACIDENTE,FALHA DO MOTOR EM VOO,2010-07-24,10:15:00,AFUA,PA,BRASIL,****,PRJOS,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,1.0,3969,2.0,1987.0,BRASIL,TPX,TÁXI AÉREO,SBBE,SBMQ,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,,3,2018-05-06,2010,-0.15,-50.38
201412194646691,ACIDENTE,PERDA DE CONTROLE EM VOO,2014-12-19,16:16:00,AGUA BOA,MT,BRASIL,****,PTULZ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,1999.0,BRASIL,TPP,PARTICULAR,****,****,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,1.0,2,2018-05-06,2014,-14.05,-52.15
201012113981199,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,2010-12-11,11:00:00,AGUA BRANCA,AL,BRASIL,****,PTEPY,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,2.0,3175,5.0,1978.0,BRASIL,SAE,ESPECIALIZADA,****,****,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO ESPECIALIZADA,LEVE,,2,2018-05-06,2010,-9.26,-37.93
200903207404883,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,2009-03-20,19:55:00,AGUA BRANCA,PI,BRASIL,****,PTNBH,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202,4.0,1975.0,BRASIL,TPX,TÁXI AÉREO,SNQG,SIPW,DESCIDA,TÁXI AÉREO,NENHUM,,4,2018-05-06,2009,-5.89,-42.63
201603081528033,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2016-03-04,10:30:00,AGUA CLARA,MS,BRASIL,****,PTUCU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1987.0,BRASIL,SAE-AG,AGRÍCOLA,SSZG,SSZG,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,0,2018-05-06,2016,-20.44,-52.87
200911122926403,INCIDENTE,COM TREM DE POUSO,2009-11-12,17:40:00,AGUA CLARA,MS,BRASIL,****,PRVRB,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PISTÃO,1.0,1950,6.0,2008.0,BRASIL,TPP,PARTICULAR,****,****,TÁXI,VOO PRIVADO,LEVE,,0,2018-05-06,2009,-20.44,-52.87
